landing_page,visits,purchases,sales
https://shop.googlemerchandisestore.com/Google+Redesign/Wearables/Men+s+T-Shirts/,26,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Womens+Eco+Tee,26,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+Red,25,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Notebooks+Journals/Google+Large+Standard+Journal+Grey,25,1,26.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids/Kids+Youth,25,1,262.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Google+Pocket+Tee+Grey,25,1,98.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tudes+Recycled+Tee,25,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Mural+Sticker+Sheet,25,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Maps+Pin,24,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Large+White+Gift+Bag+5PK,24,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+FC+Black,24,1,23.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Utility+Bag+Grey,24,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Zip+Hoodie+Black,24,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Flamingo+and+Friends+Tee+Blue,24,0,0.0
https://shop.googlemerchandisestore.com/home.,24,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Navy+Speckled+Tee,24,4,237.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+ApPeel+Journal+Red,23,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Navy,23,2,41.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Black+Cork+Journal,23,1,18.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Tee+Green,23,1,0.0
https://shop.googlemerchandisestore.com/google+redesign/drinkware,23,0,0.0
https://shop.googlemerchandisestore.com/store-policies/privacy-policy/,23,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+White,23,1,16.0
https://shop.googlemerchandisestore.com/resetpassword.html,22,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+PNW+Campus+Bottle,22,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google+Cloud,22,1,21.0
